Stickr,Station-ID,Date,ShTrpStn,latitude,longitude,PrDM,Sbeox0ML/L,Sbeox1ML/L,Wind Dir [deg/10],Wind Speed [kts],Wind Speed [m/s],[O2](ml/l),std_[O2](ml/l),Rep_1(ml/l),Rep_2(ml/l),Rep_3(ml/l),Rep_4(ml/l),Rep_5(ml/l),Rep_6(ml/l),WINKLER-DIFF,WINKLER
443062,SEGB-09,2023-04-07,car031_2023_028,44.725,-51.395,41.384,8.1,7.9105,21,27,13.8889,7.518,0.019,7.504,7.531,,,,,0.027,7.5175
443064,SEGB-09,2023-04-07,car031_2023_028,44.725,-51.395,19.792,8.1604,7.9627,21,27,13.8889,7.623,0.059,7.665,7.581,,,,,0.084,7.623
443090,SEGB-13,2023-04-08,car031_2023_032,43.2,-50.166667,40.856,8.0736,7.886,27,15,7.716,7.452,0.04,7.424,7.48,,,,,0.056,7.452
443092,SEGB-13,2023-04-08,car031_2023_032,43.2,-50.166667,20.115,8.3666,8.1593,27,15,7.716,7.766,0.034,7.742,7.79,,,,,0.048,7.766
443093,SEGB-13,2023-04-08,car031_2023_032,43.2,-50.166667,10.827,8.4456,8.2309,27,15,7.716,7.774,0.012,7.782,7.765,,,,,0.017,7.7735
443094,SEGB-13,2023-04-08,car031_2023_032,43.2,-50.166667,4.059,8.4628,8.2432,27,15,7.716,7.792,0.048,7.758,7.826,,,,,0.068,7.792
443122,SEGB-17,2023-04-08,car031_2023_036,42.588333,-49.683333,150.286,5.0638,4.9587,31,15,7.716,4.609,0.077,4.554,4.663,,,,,0.109,4.6085
443123,SEGB-17,2023-04-08,car031_2023_036,42.588333,-49.683333,99.298,6.1656,6.0131,31,15,7.716,5.735,0.067,5.782,5.687,,,,,0.095,5.7345
443124,SEGB-17,2023-04-08,car031_2023_036,42.588333,-49.683333,76.309,6.3772,6.236,31,15,7.716,5.92,0.016,5.908,5.931,,,,,0.023,5.9195
443125,SEGB-17,2023-04-08,car031_2023_036,42.588333,-49.683333,51.355,6.6413,6.4857,31,15,7.716,6.173,0.054,6.212,6.135,,,,,0.077,6.1735
443127,SEGB-17,2023-04-08,car031_2023_036,42.588333,-49.683333,19.184,7.1669,6.9887,31,15,7.716,5.937,0.105,5.862,6.011,,,,,0.149,5.9365
443159,FC-33,2023-04-11,car031_2023_053,47.0,-43.4,151.954,6.7536,6.4174,26,23,11.8313,5.96,0.009,5.966,5.953,,,,,0.013,5.9595
443160,FC-33,2023-04-11,car031_2023_053,47.0,-43.4,100.189,7.1716,6.8204,26,23,11.8313,6.402,0.074,6.35,6.455,,,,,0.105,6.4025
443161,FC-33,2023-04-11,car031_2023_053,47.0,-43.4,77.512,7.379,7.0012,26,23,11.8313,6.516,0.01,6.509,6.523,,,,,0.014,6.516
443163,FC-33,2023-04-11,car031_2023_053,47.0,-43.4,40.464,7.2401,6.8713,26,23,11.8313,6.393,0.046,6.425,6.36,,,,,0.065,6.3925
443165,FC-33,2023-04-11,car031_2023_053,47.0,-43.4,10.142,7.203,6.8535,26,23,11.8313,6.384,0.026,6.403,6.366,,,,,0.037,6.3845
443166,FC-33,2023-04-11,car031_2023_053,47.0,-43.4,5.398,7.2018,6.8387,26,23,11.8313,6.384,0.023,6.4,6.368,,,,,0.032,6.384
443196,FC-24,2023-04-12,car031_2023_061,47.0,-45.213333,163.602,6.3333,5.9686,9,30,15.4321,6.198,0.004,6.201,6.195,,,,,0.006,6.198
443197,FC-24,2023-04-12,car031_2023_061,47.0,-45.213333,149.903,6.4162,6.0673,9,30,15.4321,5.742,0.011,5.734,5.749,,,,,0.015,5.7415
443201,FC-24,2023-04-12,car031_2023_061,47.0,-45.213333,40.307,7.4483,7.0328,9,30,15.4321,6.627,0.004,6.63,6.624,,,,,0.006,6.627
443203,FC-24,2023-04-12,car031_2023_061,47.0,-45.213333,20.073,7.4403,7.023,9,30,15.4321,6.643,0.001,6.642,6.644,,,,,0.002,6.643
443204,FC-24,2023-04-12,car031_2023_061,47.0,-45.213333,10.033,7.4419,7.0288,9,30,15.4321,6.645,0.042,6.674,6.615,,,,,0.059,6.6445
443205,FC-24,2023-04-12,car031_2023_061,47.0,-45.213333,5.152,7.4423,7.0338,9,30,15.4321,6.624,0.003,6.622,6.626,,,,,0.004,6.624
443228,FC-20,2023-04-12,car031_2023_065,47.0,-46.483333,152.85,7.417,6.9925,29,50,25.7202,6.595,0.049,6.56,6.629,,,,,0.069,6.5945
443229,FC-20,2023-04-12,car031_2023_065,47.0,-46.483333,105.88,7.58,7.1305,29,50,25.7202,6.765,0.026,6.784,6.747,,,,,0.037,6.7655
443230,FC-20,2023-04-12,car031_2023_065,47.0,-46.483333,77.296,7.63,7.1839,29,50,25.7202,6.753,0.034,6.729,6.777,,,,,0.048,6.753
443234,FC-20,2023-04-12,car031_2023_065,47.0,-46.483333,19.326,7.5656,7.1333,29,50,25.7202,6.778,0.045,6.81,6.746,,,,,0.064,6.778
443235,FC-20,2023-04-12,car031_2023_065,47.0,-46.483333,10.253,7.5661,7.1436,29,50,25.7202,6.724,0.04,6.696,6.753,,,,,0.057,6.7245
443236,FC-20,2023-04-12,car031_2023_065,47.0,-46.483333,6.443,7.5774,7.1449,29,50,25.7202,6.733,0.008,6.728,6.739,,,,,0.011,6.7335
443271,FC-14,2023-04-13,car031_2023_070,47.0,-47.5,148.821,7.2465,6.8531,23,10,5.144,6.418,0.004,6.421,6.415,,,,,0.006,6.418
443273,FC-14,2023-04-13,car031_2023_070,47.0,-47.5,75.159,7.2603,6.8521,23,10,5.144,6.379,0.001,6.38,6.378,,,,,0.002,6.379
443274,FC-14,2023-04-13,car031_2023_070,47.0,-47.5,50.098,8.7445,8.258,23,10,5.144,7.753,0.045,7.785,7.721,,,,,0.064,7.753
443275,FC-14,2023-04-13,car031_2023_070,47.0,-47.5,37.849,8.5583,8.0155,23,10,5.144,7.303,0.082,7.361,7.245,,,,,0.116,7.303
443276,FC-14,2023-04-13,car031_2023_070,47.0,-47.5,30.308,8.7656,8.2846,23,10,5.144,7.716,0.011,7.724,7.708,,,,,0.016,7.716
443277,FC-14,2023-04-13,car031_2023_070,47.0,-47.5,20.791,8.773,8.2861,23,10,5.144,7.701,0.0,7.701,7.701,,,,,0.0,7.701
443278,FC-14,2023-04-13,car031_2023_070,47.0,-47.5,9.731,8.9125,8.4092,23,10,5.144,7.835,0.028,7.855,7.815,,,,,0.04,7.835
443279,FC-14,2023-04-13,car031_2023_070,47.0,-47.5,5.027,8.9045,8.4089,23,10,5.144,7.845,0.045,7.877,7.813,,,,,0.064,7.845
