ShipTrip,Section,Station,Lat,Lon,Date,Day,Month,Year,TimeUTC,Season,T#,SampleID,TowDepth,DW_small,DW_large,corrDW_small,corrDW_large,Comments,NewShipTrip,UID,NewSampleID,EmptySampleID
TEL078,,Fish Set 21,49.48666667,-49.80166667,1999-05-18,18,5,1999,20:00:00,Spring,2520,,260,0.287,1.762,0.574,3.524,,39078,39078111,,
TEL078,,Fish Set 21,49.48666667,-49.80166667,1999-05-18,18,5,1999,20:00:00,Spring,2520A,,100,0.221,0.345,0.442,0.69,,39078,39078111,,
TEM241,S27,S27-01,47.54666667,-52.58666667,1999-05-19,19,5,1999,19:40:00,Spring,3345,,165,,,,,,10241,10241107,,
TEL078,,Fish Set 26,48.38,-49.885,1999-05-19,19,5,1999,19:40:00,Spring,2524A,,100,0.189,0.297,0.378,0.594,,39078,39078111,,
TEL078,,Fish Set 26,48.38,-49.885,1999-05-19,19,5,1999,19:40:00,Spring,2524A,,225,0.143,1.093,0.286,2.186,,39078,39078111,,
TEL078,,SeqStn-091,48.99166667,-53.14166667,1999-05-20,20,5,1999,3:45:00,Spring,2522A,,166,0.123,0.352,0.246,0.704,,39078,39078111,,
TEL078,,SeqStn-091,48.99166667,-53.14166667,1999-05-20,20,5,1999,3:45:00,Spring,2522A,,332,1.686,0.852,3.372,1.704,,39078,39078111,,
TEL078,,SeqStn-079,48.49833333,-49.605,1999-05-20,20,5,1999,1:20:00,Spring,2525A,,100,0.192,0.86,0.384,1.72,,39078,39078111,,
TEL078,,SeqStn-079,48.49833333,-49.605,1999-05-20,20,5,1999,1:20:00,Spring,2525A,,300,0.215,1.872,0.43,3.744,,39078,39078111,,
TEM238,S27,S27-01,47.54666667,-52.58666667,1999-05-21,21,5,1999,6:00:00,Spring,3352,,165,0.118,0.239,0.236,0.478,,10238,10238102,50089,
TEL078,BB,BB-04,48.91666667,-52.4,1999-05-22,22,5,1999,17:23:00,Spring,2523,,300,0.326,1.185,0.652,2.37,,39078,39078111,,
TEL078,BB,BB-02,48.8,-52.75,1999-05-22,22,5,1999,11:02:00,Spring,2528,,182,0.068,0.628,0.136,1.256,,39078,39078111,57132,
TEL078,BB,BB-05,49.03,-52.06666667,1999-05-22,22,5,1999,20:45:00,Spring,2529,,285,0.616,0.259,1.232,0.518,,39078,39078111,,
TEL078,BB,BB-06,49.1,-51.82833333,1999-05-22,22,5,1999,23:15:00,Spring,2530,,280,0.2,0.372,0.4,0.744,,39078,39078111,57150,
TEL078,BB,BB-07,49.19,-51.53833333,1999-05-23,23,5,1999,2:55:00,Spring,2531,,300,0.201,0.727,0.402,1.454,,39078,39078111,57156,
TEL078,BB,BB-08,49.27833333,-51.27833333,1999-05-23,23,5,1999,6:09:00,Spring,2532,,300,0.295,2.082,0.59,4.164,,39078,39078111,57162,
TEL078,BB,BB-09,49.36666667,-51.01666667,1999-05-23,23,5,1999,9:05:00,Spring,2533,,300,0.28,1.638,0.56,3.276,,39078,39078111,57168,
TEL078,BB,BB-10,49.51666667,-50.53333333,1999-05-23,23,5,1999,16:07:00,Spring,2534,,300,0.253,1.575,0.506,3.15,,39078,39078111,,
TEL078,BB,BB-11,49.68333333,-50.01666667,1999-05-24,24,5,1999,0:04:00,Spring,2535,,300,0.115,0.635,0.23,1.27,,39078,39078111,,
TEL078,BB,BB-12,49.85,-49.5,1999-05-24,24,5,1999,4:20:00,Spring,2536,,300,0.027,2.314,0.054,4.628,,39078,39078111,,
TEL078,BB,BB-13,50,-49,1999-05-24,24,5,1999,7:49:00,Spring,2537,,300,0.096,1.229,0.192,2.458,,39078,39078111,57192,
TEM239,S27,S27-01,47.54666667,-52.58666667,1999-05-25,25,5,1999,23:14:00,Spring,3351,,165,0.164,0.588,0.328,1.176,,10239,10239071,,
TEL078,,FishSet-41,49.91333333,-54.28666667,1999-05-26,26,5,1999,7:13:00,Spring,2538A,,100,0.123,0.448,0.246,0.896,,39078,39078111,,
TEL078,,FishSet-41,49.91333333,-54.28666667,1999-05-26,26,5,1999,7:13:00,Spring,2538A,,242,0.156,0.553,0.312,1.106,,39078,39078111,,
TEL078,,FishSet-44,48.345,-53.04166667,1999-05-27,27,5,1999,18:00:00,Spring,2527A,,253,0.125,0.637,0.25,1.274,,39078,39078111,,
TEL078,,FishSet-44,48.345,-53.04166667,1999-05-27,27,5,1999,18:00:00,Spring,2527A,,100,0.16,0.21,0.32,0.42,,39078,39078111,,
TEL078,S27,S27-01,47.54666667,-52.58666667,1999-05-27,27,5,1999,18:00:00,Spring,2527A,,165,0.125,0.637,0.25,1.274,,39078,39078111,,
TEL078,S27,S27-01,47.54666667,-52.58666667,1999-05-28,28,5,1999,1:20:00,Spring,2539,,165,0.146,0.218,0.292,0.436,,39078,39078111,57198,
TEM239,S27,S27-01,47.54666667,-52.58666667,1999-06-04,4,6,1999,8:15:00,,3350,,165,0.016,0.304,0.032,0.608,,10239,10239071,50110,
TEM240,S27,S27-01,47.54666667,-52.58666667,1999-06-05,5,6,1999,22:00:00,,3349,,165,0.265,0.929,0.53,1.858,,10240,10240133,50120,
CG260,S27,S27-01,47.54666667,-52.58666667,1999-06-17,17,6,1999,14:00:00,,3354,,165,0.126,0.55,0.252,1.1,,,,,
CG260,S27,S27-01,47.54666667,-52.58666667,1999-07-06,6,7,1999,13:30:00,Summer,2540,,165,0.154,0.448,0.308,0.896,,,,,
TEL080,S27,S27-01,47.54666667,-52.58666667,1999-07-16,16,7,1999,23:11:00,Summer,57362,,165,0.16,0.062,0.32,0.124,,39080,39080054,180201,
TEL080,FC,FC-01,47,-52.83166667,1999-07-17,17,7,1999,7:15:00,Summer,57367,,95,0.233,0.075,0.466,0.15,,39080,39080054,180212,
TEL080,FC,FC-03,47,-52.58,1999-07-17,17,7,1999,9:47:00,Summer,57368,,145,0.112,0.063,0.224,0.126,,39080,39080054,180220,
TEL080,FC,FC-05,47,-52.03333333,1999-07-17,17,7,1999,13:24:00,Summer,57369,,130,0.134,0.045,0.268,0.09,,39080,39080054,180230,
TEL080,FC,FC-07,47,-51,1999-07-17,17,7,1999,18:07:00,Summer,57370,,96,0.029,0.06,0.058,0.12,,39080,39080054,180240,
TEL080,FC,FC-09,47,-50,1999-07-17,17,7,1999,22:15:00,Summer,57371,,75,0.042,0.027,0.084,0.054,,39080,39080054,180249,
TEL080,HIB,HIB-01,46.77166667,-48.77833333,1999-07-18,18,7,1999,4:33:00,Summer,57373,,70,0.028,0.025,0.056,0.05,,39080,39080054,180264,
TEL080,HIB,HIB-03,46.65333333,-48.77666667,1999-07-18,18,7,1999,7:18:00,Summer,57374,,65,0.046,0.015,0.092,0.03,,39080,39080054,180280,
TEL080,FC,FC-12,47,-48.11666667,1999-07-18,18,7,1999,12:32:00,Summer,57375,,125,0.02,0.075,0.04,0.15,,39080,39080054,180289,
TEL080,FC,FC-15,47,-47.5,1999-07-18,18,7,1999,17:32:00,Summer,57376,,300,0.287,0.824,0.574,1.648,,39080,39080054,198001,
TEL080,FC,FC-17,47,-47.01666667,1999-07-18,18,7,1999,20:41:00,Summer,57377,,300,0.146,0.517,0.292,1.034,,39080,39080054,198011,
TEL080,FC,FC-20,47,-46.48333333,1999-07-19,19,7,1999,3:12:00,Summer,57378,,300,0.02,0.549,0.04,1.098,,39080,39080054,198022,
TEL080,FC,FC-21,47,-46.01666667,1999-07-19,19,7,1999,6:11:00,Summer,57379,,280,0.119,1.875,0.238,3.75,,39080,39080054,198032,
TEL080,FC,FC-24,47,-45.21333333,1999-07-19,19,7,1999,10:46:00,Summer,57380,,155,0.035,2.438,0.07,4.876,,39080,39080054,198044,
TEL080,FC,FC-26,47,-44.77166667,1999-07-19,19,7,1999,13:38:00,Summer,57381,,140,0.073,1.691,0.146,3.382,,39080,39080054,198055,
TEL080,S27,S27-01,47.54666667,-52.58666667,1999-07-19,19,7,1999,13:38:00,Summer,57381,,165,0.073,1.691,0.146,3.382,,39080,39080054,,
TEL080,FC,FC-31,47,-43.83333333,1999-07-19,19,7,1999,19:24:00,Summer,57382,,300,,,,,,39080,39080054,198068,
TEL080,FC,FC-35,47,-43,1999-07-20,20,7,1999,1:13:00,Summer,57383,,300,0.136,1.597,0.272,3.194,,39080,39080054,198079,
TEL080,BB,BB-13,50,-49,1999-07-21,21,7,1999,3:32:00,Summer,57384,,300,0.137,2.01,0.274,4.02,,39080,39080054,198089,
TEL080,BB,BB-12,49.85,-49.5,1999-07-21,21,7,1999,7:30:00,Summer,57385,,300,0.141,0.849,0.282,1.698,,39080,39080054,198099,
TEL080,BB,BB-11,49.68333333,-50.01666667,1999-07-21,21,7,1999,11:51:00,Summer,57386,,300,0.08,1.371,0.16,2.742,,39080,39080054,198109,
TEL080,BB,BB-10,49.51666667,-50.53333333,1999-07-21,21,7,1999,16:08:00,Summer,57387,,300,0.269,4.03,0.538,8.06,,39080,39080054,198119,
TEL080,BB,BB-08,49.28,-51.28,1999-07-21,21,7,1999,20:33:00,Summer,57388,,300,0.251,1.35,0.502,2.7,,39080,39080054,198130,
TEL080,BB,BB-06,49.1,-51.83,1999-07-22,22,7,1999,0:46:00,Summer,57389,,280,0.21,0.492,0.42,0.984,,39080,39080054,198141,
TEL080,BB,BB-04,48.91666667,-52.4,1999-07-22,22,7,1999,4:57:00,Summer,57390,,300,0.287,0.571,0.574,1.142,,39080,39080054,198152,
TEL080,BB,BB-02,48.8,-52.75,1999-07-22,22,7,1999,8:08:00,Summer,57391,,165,0.126,0.141,0.252,0.282,,39080,39080054,198163,
TEL080,WB,WB-02,50.3,-56.18166667,1999-07-23,23,7,1999,1:56:00,Summer,57392,,300,0.213,1.751,0.426,3.502,,39080,39080054,198175,
TEL080,WB,WB-03,50.45,-55.61666667,1999-07-23,23,7,1999,5:02:00,Summer,57393,,220,0.175,1.242,0.35,2.484,,39080,39080054,198185,
TEL080,WB,WB-04,50.66666667,-55,1999-07-23,23,7,1999,8:39:00,Summer,57394,,153,0.177,0.84,0.354,1.68,,39080,39080054,198195,
TEL080,WB,WB-07,50.945,-54,1999-07-23,23,7,1999,13:50:00,Summer,57395,,200,0.343,0.731,0.686,1.462,,39080,39080054,198206,
TEL080,WB,WB-09,51.225,-53,1999-07-23,23,7,1999,18:23:00,Summer,57396,,300,0.174,0.612,0.348,1.224,,39080,39080054,198217,
TEL080,WB,WB-12,51.5,-52,1999-07-24,24,7,1999,0:35:00,Summer,57397,,300,0.898,0.353,1.796,0.706,,39080,39080054,198229,
TEL080,WB,WB-14,51.78833333,-50.99166667,1999-07-24,24,7,1999,5:42:00,Summer,57398,,300,0.195,1.255,0.39,2.51,,39080,39080054,198240,
TEL080,WB,WB-16,51.895,-50.6,1999-07-24,24,7,1999,8:34:00,Summer,57399,,300,0.041,1.641,0.082,3.282,,39080,39080054,198251,
TEL080,WB,WB-18,51.99333333,-50.25,1999-07-24,24,7,1999,13:10:00,Summer,57400,,300,0.065,1.201,0.13,2.402,,39080,39080054,198262,
TEL080,SI,SI-13,54.78333333,-53,1999-07-25,25,7,1999,16:44:00,Summer,57409,,300,0.06,2.305,0.12,4.61,,39080,39080054,198275,
TEL080,SI,SI-12,54.63333333,-53.25,1999-07-25,25,7,1999,19:19:00,Summer,57410,,300,0.113,0.857,0.226,1.714,,39080,39080054,198285,
TEL080,SI,SI-10,54.355,-53.73333333,1999-07-25,25,7,1999,23:08:00,Summer,57427,,224,0.217,0.956,0.434,1.912,,39080,39080054,198296,
TEL080,SI,SI-06,53.75666667,-54.77666667,1999-07-26,26,7,1999,6:11:00,Summer,57411,,154,0.38,2.729,0.76,5.458,,39080,39080054,198318,
TEL080,SI,SI-04,53.53333333,-55.145,1999-07-26,26,7,1999,10:21:00,Summer,57412,,188,0.438,1.293,0.876,2.586,,39080,39080054,198328,
TEL080,SI,SI-08,54.08166667,-54.21666667,1999-07-26,26,7,1999,3:03:00,Summer,57428,,178,0.261,1.061,0.522,2.122,,39080,39080054,198307,
TEL080,MB,MB-02,55.25,-58.43666667,1999-07-27,27,7,1999,3:04:00,Summer,57413,,165,0.236,0.406,0.472,0.812,,39080,39080054,198339,
TEL080,MB,MB-05,55.47833333,-57.90666667,1999-07-27,27,7,1999,7:01:00,Summer,57414,,115,0.146,0.324,0.292,0.648,,39080,39080054,198350,
TEL080,MB,MB-07,55.67833333,-57.44,1999-07-27,27,7,1999,9:53:00,Summer,57415,,190,0.496,2.144,0.992,4.288,,39080,39080054,198360,
TEL080,MB,MB-10,55.87166667,-56.98333333,1999-07-27,27,7,1999,13:24:00,Summer,57416,,300,0.081,0.538,0.162,1.076,,39080,39080054,198372,
TEL080,NB,NB-10,57.45333333,-58.92666667,1999-07-28,28,7,1999,5:25:00,Summer,57417,,300,0.347,0.202,0.694,0.404,,39080,39080054,198385,
TEL080,NB,NB-07,57.16333333,-59.57,1999-07-28,28,7,1999,9:58:00,Summer,57418,,134,0.276,0.793,0.552,1.586,,39080,39080054,198397,
TEL080,NB,NB-05,56.95833333,-60.03,1999-07-28,28,7,1999,13:00:00,Summer,57419,,120,0.292,1,0.584,2,,39080,39080054,198407,
TEL080,NB,NB-02,56.71666667,-60.55333333,1999-07-28,28,7,1999,16:13:00,Summer,57420,,70,,,,,,39080,39080054,198418,
TEL080,NB,NB-02,56.71666667,-60.55333333,1999-07-28,28,7,1999,16:13:00,Summer,57420,,150,0.331,0.964,0.662,1.928,,39080,39080054,198418,
TEL080,FI,FI-17,50.78333333,-50.10833333,1999-07-30,30,7,1999,10:26:00,Summer,57421,,300,0.026,1.086,0.052,2.172,,39080,39080054,198428,
TEL080,FI,FI-15,50.63,-50.65333333,1999-07-30,30,7,1999,15:14:00,Summer,57422,,300,0.193,1.28,0.386,2.56,,39080,39080054,198439,
TEL080,FI,FI-12,50.52833333,-51.02333333,1999-07-30,30,7,1999,18:47:00,Summer,57423,,275,0.144,4.755,0.288,9.51,,39080,39080054,198451,
TEL080,FI,FI-10,50.295,-51.81333333,1999-07-30,30,7,1999,23:25:00,Summer,57424,,283,0.287,3.625,0.574,7.25,,39080,39080054,198462,
TEL080,FI,FI-08,50.2,-52.14166667,1999-07-31,31,7,1999,2:02:00,Summer,57425,,250,0.343,2.793,0.686,5.586,,39080,39080054,198473,
TEL080,FI,FI-05,50.00833333,-52.80166667,1999-07-31,31,7,1999,6:25:00,Summer,57426,,300,0.43,0.647,0.86,1.294,,39080,39080054,198485,
TEL080,FI,FI-03,49.84,-53.33166667,1999-07-31,31,7,1999,10:12:00,Summer,57429,,152,0.111,0.129,0.222,0.258,,39080,39080054,198496,
TEL080,S27,S27-01,47.54666667,-52.58666667,1999-08-01,1,8,1999,7:28:00,Summer,57430,,165,0.286,0.077,0.572,0.154,,39080,39080054,197707,
TEM246,S27,S27-01,47.54666667,-52.58666667,1999-11-06,6,11,1999,nan,Fall,3342,,165,,,,,,10246,10246072,50250,
HUD003,S27,S27-01,47.54666667,-52.58666667,1999-11-18,18,11,1999,14:30:00,Fall,2543,,175,,,,,,,,,
HUD003,SEGB,SEGB-02,46.5,-52.85,1999-11-18,18,11,1999,22:29:00,Fall,2544,,165,0.144,1.242,0.288,2.484,,,,,
HUD003,SEGB,SEGB-04,46.20666667,-52.60833333,1999-11-19,19,11,1999,2:09:00,Fall,2545,,115,0.157,0.402,0.314,0.804,,,,,
HUD003,SEGB,SEGB-06,45.78833333,-52.26666667,1999-11-19,19,11,1999,7:30:00,Fall,2546,,72,0.062,0.032,0.124,0.064,,,,,
HUD003,SEGB,SEGB-07,47.45833333,-52,1999-11-19,19,11,1999,10:21:00,Fall,2547,,65,0.042,0.016,0.084,0.032,,,,,
HUD003,SEGB,SEGB-08,45.095,-51.7,1999-11-19,19,11,1999,12:44:00,Fall,2548,,53,0.091,0.04,0.182,0.08,,,,,
HUD003,SEGB,SEGB-09,44.725,-51.395,1999-11-19,19,11,1999,16:00:00,Fall,2549,,53,0.063,0.028,0.126,0.056,,,,,
HUD003,SEGB,SEGB-10,44.36333333,-51.10333333,1999-11-19,19,11,1999,18:55:00,Fall,2550,,62,0.056,0.032,0.112,0.064,,,,,
HUD003,SEGB,SEGB-11,44,-50.80833333,1999-11-19,19,11,1999,22:20:00,Fall,2551,,62,0.133,0.06,0.266,0.12,,,,,
HUD003,SEGB,SEGB-12,43.63333333,-50.51666667,1999-11-20,20,11,1999,0:46:00,Fall,2552,,55,0.079,0.049,0.158,0.098,,,,,
HUD003,SEGB,SEGB-13,43.2,-50.16666667,1999-11-20,20,11,1999,4:26:00,Fall,2553,,67,0.12,0.11,0.24,0.22,,,,,
HUD003,SEGB,SEGB-14,43.58833333,-49.68333333,1999-11-20,20,11,1999,6:27:00,Fall,2554,,165,0.151,0.07,0.302,0.14,,,,,
HUD003,SEGB,SEGB-17,42.92,-49.94166667,1999-11-20,20,11,1999,12:05:00,Fall,2555,,300,0.083,0.026,0.166,0.052,,,,,
HUD003,FC,FC-21,47,-46.01666667,1999-11-22,22,11,1999,19:24:00,Fall,2566,,280,0.025,0.357,0.05,0.714,,,,,
HUD003,FC,FC-24,47,-45.21333333,1999-11-22,22,11,1999,14:26:00,Fall,2567,,156,0.028,0.077,0.056,0.154,,,,,
HUD003,FC,FC-26,47,-44.77166667,1999-11-22,22,11,1999,11:20:00,Fall,2568,,147,0.096,0.115,0.192,0.23,,,,,
HUD003,FC,FC-30,47,-44.08333333,1999-11-22,22,11,1999,6:13:00,Fall,2569,,300,0.042,0.166,0.084,0.332,,,,,
HUD003,FC,FC-20,47,-46.48333333,1999-11-23,23,11,1999,0:17:00,Fall,2565,,300,0.033,0.325,0.066,0.65,,,,,
HUD003,BB,BB-06,49.1,-51.83,1999-11-25,25,11,1999,14:26:00,Fall,2562,,284,0.165,1.344,0.33,2.688,,,,,
HUD003,BB,BB-04,48.91666667,-52.4,1999-11-25,25,11,1999,6:42:00,Fall,2563,,300,0.417,0.97,0.834,1.94,,,,,
HUD003,BB,BB-02,48.8,-52.75,1999-11-25,25,11,1999,3:24:00,Fall,2564,,178,0.31,0.4,0.62,0.8,,,,,
HUD003,BB,BB-13,50,-49,1999-11-26,26,11,1999,8:36:00,Fall,2557,,300,0.019,0.111,0.038,0.222,,,,,
HUD003,BB,BB-12,49.85,-49.5,1999-11-26,26,11,1999,4:53:00,Fall,2558,,300,0.023,0.22,0.046,0.44,,,,,
HUD003,BB,BB-11,49.68333333,-50.01666667,1999-11-26,26,11,1999,2:17:00,Fall,2559,,300,0.069,0.68,0.138,1.36,,,,,
HUD003,BB,BB-10,49.51666667,-50.53333333,1999-11-26,26,11,1999,22:04:00,Fall,2560,,300,0.054,0.925,0.108,1.85,,,,,
HUD003,BB,BB-08,49.28,-51.28,1999-11-26,26,11,1999,17:26:00,Fall,2561,,300,0.105,2.03,0.21,4.06,,,,,
TEM247,S27,S27-01,47.54666667,-52.58666667,1999-12-02,2,12,1999,0:20:00,Fall,3341,,165,,,,,,10247,10247110,50291,
TEM248,S27,S27-01,47.54666667,-52.58666667,1999-12-04,4,12,1999,18:00:00,Fall,3340,,165,,,,,,10248,10248078,50301,
TEL302,SEGB,SEGB-01,46.58,-52.93,2000-04-23,23,4,2000,5:35:00,Spring,2577,,42,0.193,0.202,0.386,0.404,,39302,39302023,197911,
TEL302,SEGB,SEGB-03,46.35,-52.73,2000-04-23,23,4,2000,8:43:00,Spring,2578,,161,0.249,1.313,0.498,2.626,,39302,39302023,197916,
TEL302,SEGB,SEGB-05,46.07,-52.5,2000-04-23,23,4,2000,12:13:00,Spring,2579,,80,0.326,0.937,0.652,1.874,,39302,39302023,197926,
TEL302,SEGB,SEGB-07,45.46,-52,2000-04-23,23,4,2000,18:32:00,Spring,2580,,67,0.107,0.405,0.214,0.81,,39302,39302023,197940,
TEL302,SEGB,SEGB-06,45.79,-52.1,2000-04-23,23,4,2000,15:24:00,Spring,2581,,74,0.164,0.182,0.328,0.364,,39302,39302023,,
TEL302,SEGB,SEGB-08,45.1,-51.7,2000-04-23,23,4,2000,21:48:00,Spring,2582,,62,0.08,0.23,0.16,0.46,,39302,39302023,197947,
TEL302,SEGB,SEGB-09,44.73,-51.4,2000-04-24,24,4,2000,1:04:00,Spring,2583,,62,0.012,0.142,0.023,0.284,,39302,39302023,197954,
TEL302,SEGB,SEGB-10,44.36,-51.1,2000-04-24,24,4,2000,4:21:00,Spring,2584,,62,0.042,0.261,0.084,0.522,,39302,39302023,197961,
TEL302,SEGB,SEGB-11,44,-50.81,2000-04-24,24,4,2000,7:42:00,Spring,2585,,60,0.024,0.135,0.048,0.27,,39302,39302023,197968,
TEL302,SEGB,SEGB-12,43.63,-50.52,2000-04-24,24,4,2000,11:01:00,Spring,2586,,55,0.083,0.188,0.166,0.376,,39302,39302023,197975,
TEL302,SEGB,SEGB-13,43.2,-50.17,2000-04-24,24,4,2000,14:40:00,Spring,2587,,58,0.225,0.512,0.45,1.024,,39302,39302023,197982,
TEL302,SEGB,SEGB-15,42.85,-49.89,2000-04-24,24,4,2000,18:26:00,Spring,2588,,300,0.443,0.813,0.886,1.626,,39302,39302023,197989,
TEL302,SEGB,SEGB-17,42.59,-49.68,2000-04-24,24,4,2000,22:58:00,Spring,2589,,300,0.092,0.411,0.184,0.822,,39302,39302023,,
TEL302,SEGB,SEGB-19,42.08,-49.27,2000-04-25,25,4,2000,5:54:00,Spring,2590,,300,0.03,0.174,0.06,0.348,,39302,39302023,221009,
TEL302,FC,FC-37,47,-42.5,2000-04-27,27,4,2000,1:59:00,Spring,2591,,300,0.029,0.636,0.058,1.272,,39302,39302023,221019,
TEL302,FC,FC-35,47,-43,2000-04-27,27,4,2000,7:49:00,Spring,2592,,300,0.048,1.231,0.096,2.462,,39302,39302023,221029,
TEL302,FC,FC-33,47,-43.25,2000-04-27,27,4,2000,13:11:00,Spring,2593,,300,0.043,0.476,0.086,0.952,,39302,39302023,221039,
TEL302,FC,FC-31,47,-43.83333333,2000-04-27,27,4,2000,18:05:00,Spring,2594,,300,0.044,0.85,0.088,1.7,,39302,39302023,,
TEL302,FC,FC-29,47,-44.23166667,2000-04-27,27,4,2000,21:58:00,Spring,2595,,265,0.042,0.963,0.084,1.926,,39302,39302023,,
TEL302,FC,FC-26,47,-44.77166667,2000-04-28,28,4,2000,2:19:00,Spring,2596,,140,0.031,0.814,0.062,1.628,,39302,39302023,221069,
TEL302,FC,FC-24,47,-45.21333333,2000-04-28,28,4,2000,5:29:00,Spring,2597,,155,0.03,0.561,0.06,1.122,,39302,39302023,221078,
TEL302,FC,FC-21,47,-46.01666667,2000-04-28,28,4,2000,10:54:00,Spring,2598,,290,0.034,0.547,0.068,1.094,,39302,39302023,221088,
TEL302,FC,FC-01,47,-52.83166667,2000-04-29,29,4,2000,22:36:00,Spring,2600,,95,0.345,0.705,0.69,1.41,,39302,39302023,221108,
TEL302,FC,FC-02,47,-52.71,2000-04-30,30,4,2000,0:05:00,Spring,2601,,175,0.405,0.701,0.81,1.402,,39302,39302023,,
TEL302,FC,FC-03,47,-52.58,2000-04-30,30,4,2000,1:34:00,Spring,2602,,151,0.399,0.685,0.798,1.37,,39302,39302023,,
TEL302,FC,FC-04,47,-52.32166667,2000-04-30,30,4,2000,3:35:00,Spring,2603,,114,0.093,0.489,0.186,0.978,,39302,39302023,221135,
TEL302,FC,FC-05,47,-52.03333333,2000-04-30,30,4,2000,5:36:00,Spring,2604,,128,0.116,0.379,0.232,0.758,,39302,39302023,221143,
TEL302,FC,FC-06,47,-51.485,2000-04-30,30,4,2000,8:55:00,Spring,2605,,90,0.318,0.753,0.636,1.506,,39302,39302023,221152,
TEL302,FC,FC-07,47,-51,2000-04-30,30,4,2000,11:45:00,Spring,2606,,98,0.318,0.822,0.636,1.644,,39302,39302023,221160,
TEL302,FC,FC-09,47,-50,2000-04-30,30,4,2000,23:45:00,Spring,2607,,70,0.113,1.002,0.226,2.004,,39302,39302023,221168,
TEL302,FC,FC-10,47,-49.11666667,2000-05-01,1,5,2000,5:40:00,Spring,2608,,70,0.144,1.58,0.288,3.16,,39302,39302023,221175,
TEL302,HIB,HIB-01,46.82,-48.78,2000-05-01,1,5,2000,8:43:00,Spring,2609,,72,0.187,0.179,0.374,0.358,,39302,39302023,,
TEL302,HIB,HIB-02,46.75,-48.88,2000-05-01,1,5,2000,10:07:00,Spring,2610,,68,0.19,0.192,0.38,0.384,,39302,39302023,,
TEL302,HIB,HIB-03,46.68,-48.78,2000-05-01,1,5,2000,11:23:00,Spring,2611,,68,0.19,0.243,0.38,0.486,,39302,39302023,,
